Playlist Id,Channel Id,Time Created,Time Updated,Title,Description,Visibility
PLTQ8BNn3_D4e84PbC4vyc1MqXAW07VRsC,UCESRr5AcpTjz4u8Zej0f89g,2022-01-11 15:25:43 UTC,2022-01-11 15:33:05 UTC,Classical Piano/Music,,Private

Video Id,Time Added
cGYyOY4XaFs,2022-01-11 15:25:43 UTC
jGFqtOdEIWk,2022-01-11 15:27:49 UTC
3LiztfE1X7E,2022-01-11 15:28:09 UTC

