Playlist Id,Channel Id,Time Created,Time Updated,Title,Description,Visibility
PLTQ8BNn3_D4dbCVah2VqLd7QlnrslqORX,UCESRr5AcpTjz4u8Zej0f89g,2020-06-29 18:15:25 UTC,2020-07-26 22:17:13 UTC,DBD Tutorials,,Unlisted

Video Id,Time Added
p6QYjInzLeM,2020-06-29 18:15:25 UTC
NKhVtADbjlo,2020-06-29 18:31:47 UTC
AX5AGQiNKg0,2020-07-26 22:17:13 UTC

