Playlist Id,Channel Id,Time Created,Time Updated,Title,Description,Visibility
UUESRr5AcpTjz4u8Zej0f89g,UCESRr5AcpTjz4u8Zej0f89g,,2017-03-10 07:31:15 UTC,Uploads from Henry Henry,,

Video Id,Time Added
EukDMo5Zdwo,2017-03-10 07:31:15 UTC
 -a7MjgXHSR0,2014-05-06 04:28:20 UTC
K9vjpWtgvNo,2013-11-12 04:01:44 UTC
twrYyNceOGo,2013-02-23 03:32:28 UTC

