Channel Id,Channel Url,Channel Title
UCK09g6gYGMvU-0x1VCF1hgA,http://www.youtube.com/channel/UCK09g6gYGMvU-0x1VCF1hgA,Military History Visualized
UCL5YbN5WLFD8dLIegT5QAbA,http://www.youtube.com/channel/UCL5YbN5WLFD8dLIegT5QAbA,agadmator's Chess Channel
UCLT5uVgq4vok5rOys7bL4UQ,http://www.youtube.com/channel/UCLT5uVgq4vok5rOys7bL4UQ,Network Engineer Academy
UCL_f53ZEJxp8TtlOkHwMV9Q,http://www.youtube.com/channel/UCL_f53ZEJxp8TtlOkHwMV9Q,Jordan B Peterson
UCLxMEPUoHpKq4PEk85RZn9A,http://www.youtube.com/channel/UCLxMEPUoHpKq4PEk85RZn9A,Dividend Bull
UCMZRBgguqM_ZiW9PJBS_ZNA,http://www.youtube.com/channel/UCMZRBgguqM_ZiW9PJBS_ZNA,Jaee
UCMm_V8YjmnZRhToXIqDYDuw,http://www.youtube.com/channel/UCMm_V8YjmnZRhToXIqDYDuw,New England Patriots
UCMmaBzfCCwZ2KqaBJjkj0fw,http://www.youtube.com/channel/UCMmaBzfCCwZ2KqaBJjkj0fw,Kings and Generals
UCMzjeq1zxacTUsAdpioGQxQ,http://www.youtube.com/channel/UCMzjeq1zxacTUsAdpioGQxQ,FLuuMP
UCN0jY4_se9VmRJLFne3OrBA,http://www.youtube.com/channel/UCN0jY4_se9VmRJLFne3OrBA,Strong Opinion Sports
UCNIuvl7V8zACPpTmmNIqP2A,http://www.youtube.com/channel/UCNIuvl7V8zACPpTmmNIqP2A,OverSimplified
UCOAUId3kMR8dgT5HLW5C_6A,http://www.youtube.com/channel/UCOAUId3kMR8dgT5HLW5C_6A,Sir Classy
UCPZUQqtVDmcjm4NY5FkzqLA,http://www.youtube.com/channel/UCPZUQqtVDmcjm4NY5FkzqLA,Rousseau
UCQD-0MjUbDBwm2UTVYr0Dag,http://www.youtube.com/channel/UCQD-0MjUbDBwm2UTVYr0Dag,Suibhne
UCQHX6ViZmPsWiYSFAyS0a3Q,http://www.youtube.com/channel/UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess
UCQHsMwcGoH1ygyi-pJs5Z8A,http://www.youtube.com/channel/UCQHsMwcGoH1ygyi-pJs5Z8A,Frame of Essence
UCR1IuLEqb6UEA_zQ81kwXfg,http://www.youtube.com/channel/UCR1IuLEqb6UEA_zQ81kwXfg,Real Engineering
